UniqueCount	AmbigCount
0	5
0	0
8	384
0	0
0	3
0	2
0	0
0	17
0	10
0	0
0	0
0	0
0	0
0	0
21	80
0	0
0	44
0	7
0	0
0	59
48	76
0	51
0	7
0	10
72	96
0	5
3	58
5	21
0	0
0	0
0	0
21	513
0	199
1	246
0	202
0	184
0	95
73	85
0	34
0	2
0	1
0	3
0	1
0	80
0	0
0	1
1	4
1	5
0	1
0	1
8	7
0	74
0	64
0	58
1	31
0	30
1	22
0	14
0	30
0	30
3	11
0	19
1	16
2	2
0	3
0	55
1	4
0	0
1	0
0	22
4	84
0	7
0	1
0	1
0	21
0	128
6	103
0	1
0	1
0	9
0	1
0	1
0	45
0	5
0	1
0	2
0	1
0	1
1	1054
521	5480
27	55760
2	277
0	1330
0	28
3708	4154
5	2841
0	0
0	21
73	480
0	11
0	0
0	0
0	14
4	9
2	24
0	20
0	3
0	7
9	7
0	3
0	0
2	2
0	6
0	4
1	4
1	4
0	7
0	5
0	10
1	24
2	4
3	3
0	2
3	3
0	1
1	2
1	5
0	5
274	39
0	18
0	15
0	21
0	7
0	6
0	49
1	24
0	8
0	17
2	5
0	1
1	5
22	5
5	23
0	6
0	14
0	0
0	0
1	0
7	26
1	8
39	17
0	15
0	2
1	10
1	5
0	119
0	111
0	119
0	115
0	121
0	119
0	112
0	108
0	114
1	114
0	44
1	0
0	15
0	7
0	6
1	339
46	696
14	726
0	0
0	172
3	47
20	88
0	89
9	30
3	25
10	2
1	6
0	7
0	6
0	1
0	1
0	3
1	3
0	3
0	0
0	0
0	0
2	0
1	0
0	109
0	83
1	141
0	141
0	2
2	1
70	1560
0	1560
1	1
0	48
2	85
1	50
1	9
0	80
0	91
9	350
0	22
0	10
0	32
0	10
0	0
0	5
0	6
0	0
0	6
0	95
1	88
0	100
0	99
14	80
2	96
0	95
0	14
0	68
0	32
0	27
0	27
0	15
2	10
0	11
0	9
0	7
0	8
5	7
3	37
0	0
0	0
0	0
0	0
0	0
0	82
0	52
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
4	4291
3	3673
0	3978
43	1890
3	1480
5	1390
0	1095
0	339
0	339
2	2
1	0
4	5
0	5
1	4
4	8
0	483
0	493
1	484
0	311
0	342
0	280
1	282
11	89
0	263
0	190
0	46
0	75
0	117
0	87
3	96
0	9
0	34
0	37
4	60
2	4
0	3
10	0
0	77
0	53
6	75
0	75
4	3
0	77
0	3
2	22
5	759
76	748
11	521
0	480
4	17
5	81
5	129
3	16
43	168
1	85
46	60
0	29
13	0
0	0
11	148
2	62
0	37
0	93
3	77
2	468
0	663
0	661
0	519
0	371
0	687
0	130
0	564
0	520
50	569
9	373
0	486
0	662
0	536
0	491
0	585
0	613
0	239
0	143
5	128
0	483
0	160
0	192
0	185
3	125
0	138
0	241
0	31
2	60
1	230
0	112
0	117
0	171
0	146
0	144
0	23
4	10
0	89
0	159
0	125
0	78
0	104
0	104
0	74
0	60
0	53
0	47
0	6
0	9
1	2
0	0
31	0
4	104
140	128
2	31
6	0
2	935
9	913
0	633
1	172
0	239
5	122
0	78
3	92
0	0
0	5046
8	7993
0	9180
38	6872
7	8774
2	2549
0	1801
79	2762
2	322
2	107
1	503
39	483
1	487
6	510
7	89
0	16
1	0
72	1441
1	1570
4	993
6	1818
2	3148
0	1957
0	1259
1	2297
0	2456
0	1028
0	1321
3	408
6	398
0	337
3	441
0	760
16	94
0	264
5	39
0	110
0	41
0	97
3	115
0	10
0	12
0	106
4	106
0	28
41	422
2	213
15	358
15	37
11	225
0	87
0	2
58	111
0	24
1	24
0	24
0	11
0	5
2	0
0	0
0	1
0	1
0	1
0	0
0	38
0	102
8	140
0	10
1	100
0	0
2	0
9	147
32	148
4	18
21	94
27	68
7	1
0	1
6	314
0	304
0	301
0	301
0	10
2	30
0	42
1	44
0	44
10	6
111	1291
1	992
1	334
95	190
0	56
12	129
0	0
82	0
81	13
3	634
0	654
0	562
0	658
24	652
0	601
0	637
22	77
0	65
1	628
3	66
0	509
0	35
0	14
1	94
0	641
3	453
0	61
0	571
2	517
11	25
11	29
0	512
6	96
7	39
0	30
3	112
0	171
0	167
7	108
0	44
2	47
2	231
0	32
2	123
11	210
0	172
0	111
0	115
0	115
2	36
3	31
67	1305
1	1250
0	1048
0	1208
0	1114
2	1035
0	1037
1	1035
0	243
0	87
6	499
0	2532
2	2552
38	904
22	598
14	46
4	16
0	217
0	943
0	270
1	757
0	886
0	739
0	930
0	804
0	869
0	917
0	861
9	61
0	143
0	63
0	16
2	172
0	38
0	50
0	140
0	137
2	118
4	24
1	25
4	24
139	1015
2	6
1	372
7	5
0	26
0	488
0	523
540	1649
0	154
0	455
0	296
0	1088
0	1069
0	993
1	509
1	23
1	193
0	83
0	57
2	148
0	61
3	56
1	108
5	180
0	139
1	137
2	87
0	0
12	5662
0	5125
12	5885
13	996
0	1747
2	835
1	1116
0	618
0	10
0	159
5	0
5	6
0	6
10	5
0	1
0	1
0	1
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	69
0	0
0	0
3	94
0	0
0	17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	73
0	3
0	0
0	0
0	0
0	0
0	0
0	58
0	1
0	0
0	0
0	0
0	0
1	58
0	1
0	27
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	1
0	1
0	1
0	0
0	57
0	2
0	18
1	54
0	1
5	146
9	2
3	2
0	204
18	292
4	357
0	394
0	265
70	357
0	195
0	330
1	344
12	397
8	314
2	153
0	259
0	5
1	0
0	0
2247	132
0	0
0	53
15	79
1	15
0	15
3	14
0	6
15	24
1	16
20	12
0	12
4	48
1	2
0	1
0	0
33	2
0	2
4	2
1	1635
0	229
0	1934
0	519
8	33
2	1004
5	425
97	720
5	237
4	847
0	496
0	468
0	425
0	88
0	29
0	14
1	13
0	18
1	0
0	2
0	2
0	2
0	2
0	2
0	1
0	1
0	0
1	0
3	229
0	199
0	142
0	32
4	10
0	2
1	8
0	32
0	65
1	21
0	2
0	13
0	0
0	1
0	1
0	1
0	1
19	68
0	0
1	0
1	40
0	153
0	184
3	198
0	184
0	165
0	444
0	304
2	162
0	166
20	160
17	421
0	388
0	60
2	116
1	1
2	71
0	0
1	0
0	61
0	58
0	299
0	286
0	308
0	291
0	52
0	31
0	85
0	300
0	80
0	35
0	24
0	44
0	284
2	20
0	261
0	31
0	32
